tile_id,ndvi_mean,xmin,ymin,xmax,ymax
1.46029E+11,,425625,4709895,433305,4717575
3.77957E+11,0.35883050487895257,571545,4579335,579225,4587015
7.90274E+11,,625305,4563975,632985,4571655
9.36303E+11,0.4108927380583434,510105,4602375,517785,4610055
1.01361E+12,,625305,4510215,632985,4517895
1.47747E+12,0.41236983085872086,533145,4548615,540825,4556295
1.51183E+12,0.008117645,487065,4686855,494745,4694535
1.28849E+11,0.008137357,494745,4686855,502425,4694535
2.66288E+11,0.3923921063854407,556185,4540935,563865,4548615
2.83468E+11,0.3738899086995139,525465,4602375,533145,4610055
5.06806E+11,0.3648205886196807,510105,4548615,517785,4556295
8.33224E+11,0.404857057,556185,4517895,563865,4525575
1.51183E+12,0.36578091691405307,571545,4540935,579225,4548615
1.58914E+12,0.3756223954776994,563865,4594695,571545,4602375
3.09238E+11,0.32034363,417945,4625415,425625,4633095
3.86547E+11,,632985,4671495,635115,4679175
8.67583E+11,0.3783874932798276,563865,4640775,571545,4648455
1.08233E+12,0.008508109,487065,4663815,494745,4671495
1.29708E+12,0.3941219899999877,502425,4602375,510105,4610055
1.64068E+12,0.35148996604580746,586905,4602375,594585,4610055
8589934592,0.38546863331952524,594585,4679175,602265,4686855
34359738369,,417945,4709895,425625,4717575
4.20907E+11,,502425,4732935,510105,4740615
4.38087E+11,,632985,4732935,635115,4740615
6.18475E+11,0.3943570813055182,433305,4556295,440985,4563975
6.78605E+11,0.39888147687080866,502425,4517895,510105,4525575
7.73094E+11,,625305,4517895,632985,4525575
8.84763E+11,0.008575373,502425,4709895,510105,4717575
9.70663E+11,,579225,4725255,586905,4732935
9.79253E+11,,632985,4533255,635115,4540935
1.0222E+12,0.41331768032067834,502425,4533255,510105,4540935
1.57196E+12,0.4162736212642373,563865,4671495,571545,4679175
1.68363E+12,,417945,4717575,425625,4725255
2.66288E+11,,556185,4732935,563865,4740615
1.4517E+12,0.3759015605901931,433305,4656135,440985,4663815
0,,632985,4610055,635115,4617735
1.88979E+11,0.38237581212559635,510105,4579335,517785,4587015
2.06158E+11,,448665,4504485,456345,4510215
4.72446E+11,,602265,4517895,609945,4525575
9.44893E+11,,402585,4656135,410265,4663815
6.52835E+11,0.008312914,471705,4617735,479385,4625415
7.38734E+11,0.3860338926469939,556185,4594695,563865,4602375
9.19123E+11,0.4223725554455681,425625,4540935,433305,4548615
1.01361E+12,0.7487538741192857,540825,4663815,548505,4671495
1.12528E+12,,609945,4504485,617625,4510215
1.63209E+12,0.30945480501303774,602265,4571655,609945,4579335
25769803780,0.378160646,579225,4679175,586905,4686855
1.54619E+11,,617625,4709895,625305,4717575
6.78605E+11,0.010091831382472011,533145,4694535,540825,4702215
8.07454E+11,0.3880204349543004,548505,4594695,556185,4602375
1.23695E+12,0.26039438936548487,548505,4709895,556185,4717575
1.24554E+12,,533145,4732935,540825,4740615
1.34003E+12,,579225,4732935,586905,4740615
1.56337E+12,0.006673879,456345,4702215,464025,4709895
8589934596,0.36340674244803567,586905,4563975,594585,4571655
5.15396E+11,,625305,4617735,632985,4625415
1.09092E+12,0.1896003535069844,433305,4640775,440985,4648455
1.58055E+12,0.009918615,533145,4709895,540825,4717575
3.60777E+11,0.4133329642507818,563865,4510215,571545,4517895
1.17682E+12,0.36971341057367607,548505,4579335,556185,4587015
1.23695E+12,0.017674692,456345,4732935,464025,4740615
5.23986E+11,0.3169729599720277,625305,4679175,632985,4686855
1.07374E+12,,533145,4725255,540825,4732935
1.25413E+12,0.3590323423432843,563865,4587015,571545,4594695
1.31426E+12,0.551422957,533145,4663815,540825,4671495
8.84763E+11,,487065,4517895,494745,4525575
1.32285E+12,0.009135247,487065,4617735,494745,4625415
3.52187E+11,0.16813621655457162,440985,4625415,448665,4633095
4.98216E+11,,402585,4671495,410265,4679175
5.92705E+11,,617625,4517895,625305,4525575
6.09885E+11,0.43306951271199906,479385,4525575,487065,4533255
1.05656E+12,0.3787405580600486,425625,4548615,433305,4556295
1.07374E+12,0.37614509436762067,525465,4540935,533145,4548615
94489280515,0.4044311517390972,410265,4548615,417945,4556295
7.90274E+11,0.006606278,456345,4640775,464025,4648455
1.21118E+12,,425625,4504485,433305,4510215
1.25413E+12,0.008933812,448665,4717575,456345,4725255
1.25413E+12,0.009542834,517785,4694535,525465,4702215
1.4517E+12,0.010553955,540825,4709895,548505,4717575
1.66645E+12,0.008515375,494745,4656135,502425,4663815
1.03079E+11,,632985,4648455,635115,4656135
5.49756E+11,0.40645125915909797,548505,4563975,556185,4571655
5.58346E+11,,632985,4663815,635115,4671495
9.62073E+11,0.421132304,563865,4504485,571545,4510215
1.16823E+12,,586905,4504485,594585,4510215
1.39157E+12,,410265,4510215,417945,4517895
1.44311E+12,0.3668266215015365,548505,4617735,556185,4625415
1.55478E+12,,632985,4694535,635115,4702215
1.97568E+11,0.3617004212129497,625305,4663815,632985,4671495
7.38734E+11,0.009243055,502425,4640775,510105,4648455
8.50404E+11,0.009168754,510105,4671495,517785,4679175
1.06515E+12,0.3785836395531517,586905,4556295,594585,4563975
