OBJECTID,pointid,grid_code,X,Y
1,959335,0.095063992,-73.91018741,40.91509838
2,959336,0.116595753,-73.90964468,40.91509838
3,959337,0.439644188,-73.90910196,40.91509838
4,961128,-0.055900641,-73.91073013,40.91455565
5,961129,0.344398379,-73.91018741,40.91455565
6,961130,0.13313432,-73.90964468,40.91455565
7,961131,-0.023076931,-73.90910196,40.91455565
8,961132,-0.033088248,-73.90855923,40.91455565
9,961133,0.361308724,-73.90801651,40.91455565
10,961134,0.48113206,-73.90747378,40.91455565
11,962921,0.32846716,-73.91073013,40.91401293
12,962922,0.658263266,-73.91018741,40.91401293
13,962923,0.761273265,-73.90964468,40.91401293
14,962924,0.501440942,-73.90910196,40.91401293
15,962925,0.107487023,-73.90855923,40.91401293
16,962926,0.280311435,-73.90801651,40.91401293
17,962927,0.343696028,-73.90747378,40.91401293
18,962928,0.377737224,-73.90693106,40.91401293
19,962929,0.472727299,-73.90638834,40.91401293
20,962930,0.471444547,-73.90584561,40.91401293
21,964708,0.636022508,-73.91127286,40.9134702
22,964709,0.350272238,-73.91073013,40.9134702
23,964710,0.534545481,-73.91018741,40.9134702
24,964711,0.300335556,-73.90964468,40.9134702
25,964712,0.13518697,-73.90910196,40.9134702
26,964713,0.003712888,-73.90855923,40.9134702
27,964714,0.20892854,-73.90801651,40.9134702
28,964715,0.313019395,-73.90747378,40.9134702
29,964716,0.31782946,-73.90693106,40.9134702
30,964717,0.37734434,-73.90638834,40.9134702
31,964718,0.335438043,-73.90584561,40.9134702
32,964719,0.452397466,-73.90530289,40.9134702
33,964720,0.503386021,-73.90476016,40.9134702
34,964721,0.291316539,-73.90421744,40.9134702
35,966492,0.19788605,-73.91127286,40.91292748
36,966493,0.255645871,-73.91073013,40.91292748
37,966494,0.451997221,-73.91018741,40.91292748
38,966495,0.228346437,-73.90964468,40.91292748
39,966496,0.310950458,-73.90910196,40.91292748
40,966497,0.210376948,-73.90855923,40.91292748
41,966498,0.148131475,-73.90801651,40.91292748
42,966499,0.129198939,-73.90747378,40.91292748
43,966500,0.448476076,-73.90693106,40.91292748
44,966501,0.329052955,-73.90638834,40.91292748
